retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
inst-xl,biology,2,0.7957573533058167,0.008575975894927979,0.03400778770446777,0,0,INCORRECT
inst-xl,biology,8,0.8080654740333557,0.04800456762313843,0.07758432626724243,1,1,CORRECT
inst-xl,biology,15,0.7693072557449341,0.02382117509841919,0.051627159118652344,0,0,INCORRECT
inst-xl,biology,1,0.7510367631912231,0.010239899158477783,0.03144490718841553,1,1,CORRECT
inst-xl,biology,0,0.7810559272766113,0.011670887470245361,0.04786384105682373,1,1,INCORRECT
inst-xl,biology,12,0.8526912927627563,0.0036058425903320312,0.058709144592285156,0,0,INCORRECT
inst-xl,biology,4,0.8532589673995972,0.05465090274810791,0.10872757434844971,1,1,CORRECT
inst-xl,biology,11,0.7511768937110901,0.0178031325340271,0.05683380365371704,1,1,CORRECT
inst-xl,biology,5,0.8169544339179993,0.041232168674468994,0.08409541845321655,1,1,CORRECT
inst-xl,biology,6,0.7560644149780273,0.029421329498291016,0.06549924612045288,0,1,INCORRECT
inst-xl,biology,7,0.8190555572509766,0.04982823133468628,0.13979780673980713,1,1,CORRECT
inst-xl,biology,9,0.8645660877227783,0.018643081188201904,0.05503600835800171,0,0,CORRECT
inst-xl,biology,3,0.8491649627685547,0.08334767818450928,0.10919874906539917,1,1,CORRECT
inst-xl,biology,10,0.8007606267929077,0.08849477767944336,0.11211168766021729,1,1,CORRECT
inst-xl,biology,14,0.8135890960693359,0.03710275888442993,0.07194185256958008,1,1,CORRECT
inst-xl,biology,13,0.8059689402580261,0.0196647047996521,0.0437355637550354,1,1,CORRECT
inst-xl,biology,22,0.7459200620651245,0.032288432121276855,0.06617516279220581,1,1,CORRECT
inst-xl,biology,18,0.7921562194824219,0.03684079647064209,0.059365153312683105,0,0,CORRECT
inst-xl,biology,16,0.828394889831543,0.04378151893615723,0.09867393970489502,0,0,CORRECT
inst-xl,biology,23,0.7553107738494873,0.012266337871551514,0.04272019863128662,0,0,CORRECT
inst-xl,biology,17,0.8009975552558899,0.018419384956359863,0.059103310108184814,1,1,CORRECT
inst-xl,biology,20,0.7902270555496216,0.03026449680328369,0.11138367652893066,1,1,CORRECT
inst-xl,biology,19,0.8513519763946533,0.027372539043426514,0.07006025314331055,1,1,CORRECT
inst-xl,biology,24,0.8292104005813599,0.05869555473327637,0.11508536338806152,1,1,CORRECT
inst-xl,biology,30,0.8067679405212402,0.05165398120880127,0.09087836742401123,1,1,CORRECT
inst-xl,biology,33,0.8025210499763489,0.009770572185516357,0.044296324253082275,0,1,CORRECT
inst-xl,biology,25,0.8059905171394348,0.02512645721435547,0.06873160600662231,1,1,CORRECT
inst-xl,biology,26,0.7892594337463379,0.026296138763427734,0.05278170108795166,0,1,INCORRECT
inst-xl,biology,31,0.8079326152801514,0.026378631591796875,0.06319361925125122,1,1,CORRECT
